game_id,country_id,name,event,time
28,15,Леопольд Кверфельд,желтая карточка,90+4
32,18,Юрай Куцка,пас,24
32,18,Ондрей Дуда,гол,24
32,19,Рэзван Марин,пенальти,37
32,19,Андрей Буркэ,желтая карточка,45+1
32,19,Никушор Банку,желтая карточка,45+4
32,19,Джордже Пушкаш,желтая карточка,88
32,18,Ондрей Дуда,желтая карточка,90+1
33,17,Ваут Фас,желтая карточка,43
33,20,Артём Довбик,желтая карточка,69
34,22,Жорж Микаутадзе,пас,2
34,22,Хвича Кварацхелия,гол,2
34,23,Криштиану Роналду,желтая карточка,28
34,23,Педру Нету,желтая карточка,44
34,23,Рубен Невиш,желтая карточка,53
34,22,Жорж Микаутадзе,пенальти,57
34,22,Анзор Меквабишвили,желтая карточка,85
35,24,Антонин Барак,желтая карточка,11
35,24,Антонин Барак,желтая карточка,20
35,24,Антонин Барак,красная карточка,20
35,21,Салих Озджан,желтая карточка,31
35,24,Патрик Шик,желтая карточка,34
35,21,Кенан Йылдыз,желтая карточка,37
35,21,Исмаил Юксек,желтая карточка,49
35,21,Исмаил Юксек,пас,51
35,21,Хакан Чалханоглу,гол,51
35,21,Мерт Гюнок,желтая карточка,64
35,24,Томаш Соучек,гол,66
35,21,Хакан Чалханоглу,желтая карточка,66
35,21,Угурджан Чакыр,желтая карточка,68
35,21,Мерт Мюлдюр,желтая карточка,80
35,24,Витезслав Ярош,желтая карточка,84
35,24,Лукаш Черв,желтая карточка,85
35,21,Самет Акайдын,желтая карточка,85
35,24,Ладислав Крейчий,желтая карточка,90+1
35,21,Оркун Кёкчю,пас,90+4
35,21,Дженк Тосун,гол,90+4
35,21,Оркун Кёкчю,желтая карточка,90+5
35,21,Каан Айхан,желтая карточка,90+5
35,24,Томаш Хорый,красная карточка,90+8
35,24,Томаш Соучек,желтая карточка,90+8
35,21,Арда Гюлер,желтая карточка,90+8
36,7,Николо Барелла,желтая карточка,35
36,4,Рубен Варгас,пас,37
36,4,Ремо Фройлер,гол,37
36,7,Стефан Эль-Шаарави,желтая карточка,45
36,4,Мишель Эбишер,пас,46
36,4,Рубен Варгас,гол,46
36,7,Джанлука Манчини,желтая карточка,57
